,AAPL,ABC,ABEV,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,AMAT,AMD,AMZN,APH,ATVI,AVGO,BG,BTI,BYND,CAG,CASY,CCEP,CDNS,CHD,CL,CLX,CPB,CRM,CRWD,CSCO,CTSH,CTVA,CVS,DAR,DDOG,DEO,EA,EBAY,EL,FB,FIS,FISV,FLO,FMX,FRPT,FTNT,GIS,GO,GOOGL,GPN,HAIN,HLF,HPQ,HRL,HSY,IBM,IFF,INGR,INTC,INTU,K,KDP,KEYS,KHC,KLAC,KMB,KO,KR,LRCX,LW,MA,MCHP,MCK,MDLZ,MKC,MNST,MO,MRVL,MSFT,MSI,MU,NFLX,NOW,NVDA,NXPI,OLPX,ORCL,PANW,PAYX,PEP,PG,PM,POST,PPC,PYPL,QCOM,REYN,SAM,SEB,SHOP,SJM,SNAP,SNOW,SNPS,SPB,SQ,STZ,SYY,TAP,TEL,TSN,TWLO,TXN,UL,USFD,V,WBA,WDAY,XLNX,ZM
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30 00:00:00-04:00,141.32,119.47,2.755,31.12,319.85,575.64,167.47,60.01,199.89,285.07,128.7396,102.89,3286.61,73.21,77.38,485.16,81.31,35.275,105.25,33.87,188.29,55.26,151.5,82.54,75.58,165.58,41.8,271.15,245.64,54.42,74.21,42.06,84.83,71.9,141.35,193.01,142.31,69.66,299.85,339.24,121.68,108.52,23.63,86.71,142.65,292.05,59.82,21.55,2671.12,157.56,42.76,42.38,27.36,40.98,169.26,138.88,133.67,88.97,53.26,539.67,63.92,34.17,164.29,36.82,334.58,132.45,52.46,40.42,568.87,61.37,347.55,153.5,199.38,58.14,81.01,88.86,45.52,60.31,281.75,232.31,70.96,610.04,622.03,207.14,195.87,24.47,87.13,479.0,112.45,150.44,139.78,94.79,110.15,29.08,260.21,128.99,27.36,510.04,4085.01,1354.92,120.04,73.87,302.35,299.4,95.66,239.83,210.61,78.49,46.38,137.21,78.93,319.05,192.21,54.22,34.67,222.63,47.05,249.93,150.84,261.51
2021-10-01 00:00:00-04:00,142.66,119.83,2.78,29.76,324.9,577.34,167.37,60.83,201.99,284.03,129.1,102.42,3283.17,74.63,78.54,487.52,82.53,34.84,104.91,33.71,187.39,55.86,153.08,82.25,75.59,164.52,41.53,275.4,249.27,55.11,75.29,43.52,84.08,73.71,144.57,192.76,143.59,69.87,310.78,343.0,123.26,109.78,23.81,86.06,145.08,298.0,60.63,21.41,2729.93,159.85,43.12,43.3,28.1,40.9,170.84,143.33,141.15,90.55,53.86,543.97,63.88,33.2,165.5,36.7,335.02,132.2,53.02,39.14,569.62,62.79,360.34,152.63,199.9,58.21,80.71,89.88,45.88,59.82,289.1,234.35,70.97,613.15,632.8,207.42,192.85,22.9,89.76,486.51,115.11,150.95,139.62,96.09,111.19,29.29,264.55,128.66,27.81,508.94,4070.0,1350.35,119.71,75.28,303.97,302.38,98.005,239.25,213.56,80.85,47.13,141.8,78.33,324.49,193.78,54.19,36.24,230.51,46.8,254.55,152.03,267.54
2021-10-04 00:00:00-04:00,139.19,118.37,2.74,30.09,319.56,558.58,164.26,61.16,200.1,272.93,125.21,100.35,3191.7,73.55,77.2,476.2,82.55,35.35,101.12,34.02,188.13,54.93,148.1,81.73,75.07,163.71,42.11,270.89,238.82,54.22,74.36,42.56,83.8,71.23,137.12,192.94,143.18,68.5,306.18,326.32,121.02,108.29,24.14,85.85,145.09,288.88,61.45,21.25,2675.27,156.27,43.79,42.72,28.09,41.24,171.57,144.14,138.0,91.48,53.51,525.55,64.54,32.72,161.17,36.9,329.06,132.14,53.0,39.64,550.14,62.96,344.16,146.63,199.99,58.05,80.72,88.54,46.5,57.59,283.14,231.54,70.63,603.63,618.15,197.36,188.94,23.8,89.26,469.595,115.03,150.1,138.8,96.2,110.93,29.34,255.02,126.68,27.43,504.02,4055.01,1314.9666,120.96,71.22,294.67,289.22,97.85,226.29,213.08,81.41,47.61,140.33,78.09,313.35,190.41,53.82,36.05,224.68,46.67,249.65,148.0,259.7
2021-10-05 00:00:00-04:00,141.1,118.67,2.72,29.5,325.12,566.66,165.41,62.27,203.84,276.1,128.07,101.8099,3220.99,74.58,76.8,485.42,84.11,35.095,100.67,34.27,189.03,55.52,150.21,81.19,74.42,162.66,42.56,271.745,245.15,54.69,74.44,43.45,83.64,72.19,141.87,192.75,144.05,69.97,313.18,332.975,120.34,108.02,24.35,86.1,144.62,298.5,61.53,21.55,2720.45,157.63,43.6,43.08,28.3,41.28,174.47,143.16,135.42,93.09,53.95,533.36,64.02,33.43,162.75,37.07,331.23,131.95,53.09,39.87,555.85,62.45,343.35,148.01,198.24,58.83,80.05,89.56,46.16,59.39,288.75,232.19,70.49,634.81,633.42,204.5,191.67,26.15,91.48,475.74,116.83,151.09,139.35,96.4,110.69,29.25,260.17,127.56,27.28,507.01,4074.26,1317.49,121.35,73.41,300.38,293.35,97.4,235.98,213.01,80.73,48.24,143.61,78.3,320.25,193.87,53.43,36.28,224.28,47.09,252.08,151.96,257.12
2021-10-06 00:00:00-04:00,141.99,116.87,2.71,28.38,325.08,570.31,166.07,62.29,204.98,277.42,126.56,103.63,3263.2,74.55,77.3,488.69,83.92,34.91,101.32,34.47,188.79,54.96,150.04,82.74,75.1,165.17,42.5,275.27,248.22,53.95,74.36,42.0,83.15,71.37,143.31,192.81,134.1,71.54,313.55,333.69,121.11,108.47,24.725,84.31,144.42,301.86,62.12,21.6,2749.5,158.53,43.75,42.62,27.75,41.81,178.55,142.35,137.52,94.07,53.99,534.5,64.4,34.1,161.17,37.34,328.88,133.05,53.72,39.55,551.845,62.32,348.66,147.76,198.21,60.2,80.28,90.07,46.46,63.76,293.11,233.77,69.95,639.13,629.36,207.0,190.99,25.04,91.33,486.21,118.05,154.95,141.17,96.65,107.98,29.03,264.03,128.08,27.33,525.5,4136.0,1350.18,123.29,73.12,309.51,294.46,95.69,239.12,211.5,81.1,47.32,144.4,78.61,316.88,194.35,53.05,36.08,226.45,46.9,256.33,153.86,253.65
2021-10-07 00:00:00-04:00,143.28,118.58,2.685,27.97,326.24,578.81,166.98,63.05,207.57,283.02,127.91,106.45,3302.43,75.6,77.36,493.93,84.47,34.65,104.37,34.2,189.65,55.68,152.25,82.98,75.59,165.04,42.21,274.6,249.75,55.02,75.26,42.49,84.2,73.13,142.09,193.01,137.59,74.16,314.88,329.22,121.31,109.25,24.69,82.78,143.22,309.59,61.32,22.15,2785.37,159.87,43.16,43.31,28.06,41.34,178.0,141.8,138.23,94.44,54.18,537.71,63.12,35.01,163.24,37.09,330.11,133.69,53.88,39.49,556.06,58.2,354.02,149.25,199.64,59.9,80.42,90.07,46.49,65.17,294.94,236.84,70.55,631.85,638.0,210.75,193.84,25.14,92.3,493.67,118.64,156.4,142.32,95.65,107.59,29.15,263.54,127.83,27.56,545.71,4206.32,1399.85,121.85,76.29,319.91,298.37,96.16,249.1899,216.51,82.91,47.19,146.44,78.68,324.21,195.34,52.94,37.27,230.57,47.84,257.98,158.07,256.27
2021-10-08 00:00:00-04:00,143.01,119.39,2.74,27.02,325.24,576.93,168.63,63.29,206.15,278.83,126.21,105.05,3290.57,75.76,77.64,492.59,84.35,34.89,100.59,33.73,190.43,54.05,150.12,83.14,75.59,163.46,42.21,272.5,245.09,55.09,75.49,42.78,84.38,72.69,140.29,193.74,140.0,75.05,311.9,330.0,120.04,107.88,24.78,82.95,133.81,307.11,61.46,21.76,2796.99,159.35,43.96,43.03,27.9,41.69,177.74,143.25,138.0,94.95,53.81,531.33,62.7,35.04,161.8,36.78,326.15,132.88,54.13,39.46,549.64,56.38,354.96,146.1,200.23,59.53,79.31,89.28,46.73,64.62,294.85,236.79,70.13,632.66,617.58,208.26,190.26,25.52,94.39,492.97,118.67,156.01,141.73,95.35,105.3,28.8,260.07,126.52,27.44,537.8,4202.0,1378.34,121.63,75.0,313.2,291.7,95.33,238.57,219.71,83.37,46.72,145.66,78.57,320.61,195.24,52.64,38.17,230.33,47.37,255.9,156.04,255.24
2021-10-11 00:00:00-04:00,142.8,122.4,2.7,27.02,326.5,572.89,167.86,63.97,203.73,276.54,127.5,104.67,3245.15,75.06,76.32,492.19,84.94,34.77,101.59,33.56,185.18,53.38,149.51,83.01,75.795,162.2,41.87,273.7,244.17,54.92,75.38,42.45,84.29,72.39,141.89,192.86,139.48,74.48,309.94,325.39,115.87,103.77,24.94,82.53,130.33,306.78,61.68,21.7,2777.7,151.45,43.74,43.22,27.675,41.915,178.21,142.43,140.01,95.6,53.45,525.26,62.75,35.12,161.68,36.77,325.2,132.55,54.22,39.58,552.44,55.14,347.25,143.88,201.69,59.43,78.42,88.02,46.71,63.4,294.21,235.48,69.23,626.82,615.85,206.89,185.93,25.09,95.28,499.81,117.34,156.24,142.31,95.12,104.76,28.79,255.02,124.92,27.84,536.36,4114.51,1356.45,121.51,73.56,309.68,288.68,95.23,232.45,219.81,82.86,45.83,145.63,78.34,320.59,193.36,52.5,37.33,225.05,47.42,253.55,155.27,253.86
